##### Intel Schematic Connectivity Format DG-2012.100
BEGIN_COMPPROPS
###### RefDes:partName,partNumber,noMount,tolerance,value,maxV[voltage],powerDiss[wattage],maxP[wattage],elec_type,enetNonSeries,componentKind,power_supply,compComment
C1603:A5E00818233,,,,100n,,,,,,103,,
C1604:A5E00818233,,,,100n,,,,,,103,,
C1605:A5E00818233,,,,100n,,,,,,103,,
C1606:A5E00818233,,,,100n,,,,,,103,,
C1607:A5E00818233,,,,100n,,,,,,103,,
C1608:A5E00818233,,,,100n,,,,,,103,,
C1609:A5E00818233,,,,100n,,,,,,103,,
D1:A5E56183107,,,,,,,,,,104,,
D2:A5E56183142,,,,,,,,,,104,,
D3:A5E56151698,,,,,,,,,,102,,
D4:A5E56183582,,,,,,,,,,104,,
D5:A5E01028306,,,,,,,,,,104,VCC=P3V3;GND=GND,
D6:A5E00439671,,,,,,,,,,104,VCC=P3V3;GND=GND,
D7:A5E32187779,,,,,,,,,,104,VCC=P3V3;GND=GND,
D8:A5E56245815,,,,,,,,,,104,VDD1=VCC;VDD2=VCC;VDDQ=VCC;VSS=GND,
D9:A5E56410869,,,,,,,,,,104,VCC=P3V3;GND=GND,
D10:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D700:A5E56101679,,,,,,,,,,104,,
D1201:A5E47026826,,,,,,,,,,104,,
D1202:A5E00063809,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1301:A5E00524178,,,,,,,,,,104,VCC=P5;GND=GND,
D1302:A5E00769943,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1401:A5E00063809,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1402:A5E02897570,,,,,,,,,,0,,
D1403:A5E56147206,,,,,,,,,,104,,
D1601:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1602:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1603:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1604:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1605:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1606:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1607:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1608:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
D1609:A5E00157396,,,,,,,,,,104,VCC=P3V3;GND=GND,
G1:A5E35737271,,,,,,,,,,107,,
H1:A5E00745641,,,,GREEN,,,,,,108,,
H2:A5E00275367,,,,YELLOW,,,,,,108,,
H52:A5E00745641,,,,GREEN,,,,,,108,,
H53:A5E00275367,,,,YELLOW,,,,,,108,,
H601:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H602:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H603:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H604:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H605:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H606:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H607:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H608:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H609:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H610:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H611:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H612:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H613:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H614:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H615:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H616:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H617:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H618:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H619:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H620:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H621:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H622:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H623:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H624:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H625:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H626:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H627:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H628:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H629:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H630:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H631:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H632:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H633:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H634:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H635:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H636:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H637:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H638:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H639:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H640:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H641:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H642:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H643:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H644:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H645:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H646:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H647:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H648:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
H649:A5E54613593,,,,MULTI_COLOUR,,,,,,108,,
N1:A5E52725522,,,,,,,,,,114,,
N2:A5E52725522,,,,,,,,,,114,,
N3:A5E52725522,,,,,,,,,,114,,
N4:A5E52725522,,,,,,,,,,114,,
N5:A5E52725522,,,,,,,,,,114,,
N6:A5E52725522,,,,,,,,,,114,,
N1100:A5E52100654,,,,,,,,,,114,VCC=P24;GND=GND,
P1:CLP-Testpoint,,,,,,,,,,116,,
P2:CLP-Testpoint,,,,,,,,,,116,,
P3:CLP-Testpoint,,,,,,,,,,116,,
